,debt_to_income
0,0.2353417325315533
1,0.0
2,0.0
3,0.03606519690183999
4,0.0
5,0.0
6,0.2468148532749044
7,0.0
8,0.23534176540422858
9,0.23534178444407955
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.23474671898965818
16,0.2363912889645117
17,0.0035181946008405423
18,0.0
19,0.2353418137476193
20,0.0
21,0.0
22,0.23474670589280477
23,0.2363910938520802
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.23639117961580836
30,0.0
31,0.23474679271440477
32,0.23639118505876078
33,0.0
34,0.0
35,0.0
36,0.2353417297605231
37,0.0
38,0.2347467431973134
39,0.0
40,0.0
41,0.006830442587874957
42,0.0
43,0.0
44,0.0
45,0.23474681875550496
46,0.0
47,0.23534166225970451
48,0.23639114996138624
49,0.0017179411045550844
50,0.23639125975288916
51,0.0
52,0.23639112178006172
53,0.0
54,0.23818690453818095
55,0.0
56,0.0
57,0.23534166957399263
58,0.0
59,0.0
60,0.02368371653149749
61,0.0
62,0.003618379230744935
63,0.0
64,0.0
65,0.2347467116018303
66,0.0
67,0.0
68,0.23639109546145481
69,0.2347467888861868
70,0.2363912235710396
71,0.0
72,0.0
73,0.0
74,0.0
75,0.23639101606713597
76,0.23534168823262908
77,0.23534168913410916
78,0.2347467466324399
79,0.0
80,0.23639112178006172
81,0.2353417139180117
82,0.2363910047281565
83,0.0
84,0.0
85,0.0
86,0.23534183658443403
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.23639112178006166
94,0.0
95,0.0015698390220057427
96,0.0
97,0.01751539906705733
98,0.0
99,0.0
100,0.2353417644353074
101,0.01576505112837404
102,0.0
103,0.0
104,0.23534173105312056
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.23474675648877463
112,0.24435005900118859
113,0.2353417873631117
114,0.23534179331963423
115,0.04589390423243189
116,0.0
117,0.0
118,0.2363912330952844
119,0.23474675648877466
120,0.0
121,0.0
122,0.0
123,0.2353418095716382
124,0.0
125,0.0
126,0.0
127,0.23639102956660923
128,0.0
129,0.23639117561796028
130,0.23534166413198884
131,0.0
132,0.004246282107063864
133,0.0
134,0.0
135,0.0
136,0.2832774013737901
137,0.0
138,0.0
139,0.23639112178006177
140,0.0
141,0.0
142,0.0
143,0.0
144,0.23639107386680464
145,0.0
146,0.24112093715905963
147,0.0
148,0.0
149,0.0028291797814421252
150,0.0
151,0.0
152,0.0
153,0.0
154,0.004913118795536419
155,0.0
156,0.0
157,0.0
