region,SOC_label,age group,Observation
Yorkshire & Humber,Associate professional and technical,Aged 24 years and under,34263
Yorkshire & Humber,Associate professional and technical,Aged 25 to 34 years,82728
Yorkshire & Humber,Associate professional and technical,Aged 35 to 49 years,102957
Yorkshire & Humber,Associate professional and technical,Aged 50 to 64 years,74668
Yorkshire & Humber,Associate professional and technical,Aged 65 years and over,7598
Yorkshire & Humber,Administrative and secretarial,Aged 24 years and under,22367
Yorkshire & Humber,Administrative and secretarial,Aged 25 to 34 years,46390
Yorkshire & Humber,Administrative and secretarial,Aged 35 to 49 years,68402
Yorkshire & Humber,Administrative and secretarial,Aged 50 to 64 years,75555
Yorkshire & Humber,Administrative and secretarial,Aged 65 years and over,9886
Yorkshire & Humber,Skilled trades,Aged 24 years and under,31669
Yorkshire & Humber,Skilled trades,Aged 25 to 34 years,57607
Yorkshire & Humber,Skilled trades,Aged 35 to 49 years,84104
Yorkshire & Humber,Skilled trades,Aged 50 to 64 years,86102
Yorkshire & Humber,Skilled trades,Aged 65 years and over,13309
Yorkshire & Humber,"Caring, leisure and other services",Aged 24 years and under,32735
Yorkshire & Humber,"Caring, leisure and other services",Aged 25 to 34 years,54379
Yorkshire & Humber,"Caring, leisure and other services",Aged 35 to 49 years,71568
Yorkshire & Humber,"Caring, leisure and other services",Aged 50 to 64 years,72736
Yorkshire & Humber,"Caring, leisure and other services",Aged 65 years and over,8256
Yorkshire & Humber,Sales and customer services,Aged 24 years and under,48200
Yorkshire & Humber,Sales and customer services,Aged 25 to 34 years,47544
Yorkshire & Humber,Sales and customer services,Aged 35 to 49 years,48955
Yorkshire & Humber,Sales and customer services,Aged 50 to 64 years,52289
Yorkshire & Humber,Sales and customer services,Aged 65 years and over,7834
Yorkshire & Humber,"Process, plant and machine operatives",Aged 24 years and under,13370
Yorkshire & Humber,"Process, plant and machine operatives",Aged 25 to 34 years,38056
Yorkshire & Humber,"Process, plant and machine operatives",Aged 35 to 49 years,67325
Yorkshire & Humber,"Process, plant and machine operatives",Aged 50 to 64 years,78328
Yorkshire & Humber,"Process, plant and machine operatives",Aged 65 years and over,9987
Yorkshire & Humber,Elementary occupations,Aged 24 years and under,54763
Yorkshire & Humber,Elementary occupations,Aged 25 to 34 years,60801
Yorkshire & Humber,Elementary occupations,Aged 35 to 49 years,79078
Yorkshire & Humber,Elementary occupations,Aged 50 to 64 years,85697
Yorkshire & Humber,Elementary occupations,Aged 65 years and over,11196
East Midlands,"Managers, directors and senior officials",Aged 24 years and under,7613
East Midlands,"Managers, directors and senior officials",Aged 25 to 34 years,44446
East Midlands,"Managers, directors and senior officials",Aged 35 to 49 years,106034
East Midlands,"Managers, directors and senior officials",Aged 50 to 64 years,98774
East Midlands,"Managers, directors and senior officials",Aged 65 years and over,15173
East Midlands,Professional occupations,Aged 24 years and under,22844
East Midlands,Professional occupations,Aged 25 to 34 years,103506
East Midlands,Professional occupations,Aged 35 to 49 years,152899
East Midlands,Professional occupations,Aged 50 to 64 years,106688
East Midlands,Professional occupations,Aged 65 years and over,11334
East Midlands,Associate professional and technical,Aged 24 years and under,29133
East Midlands,Associate professional and technical,Aged 25 to 34 years,71513
East Midlands,Associate professional and technical,Aged 35 to 49 years,93841
East Midlands,Associate professional and technical,Aged 50 to 64 years,69234
East Midlands,Associate professional and technical,Aged 65 years and over,7456
East Midlands,Administrative and secretarial,Aged 24 years and under,18886
East Midlands,Administrative and secretarial,Aged 25 to 34 years,41662
East Midlands,Administrative and secretarial,Aged 35 to 49 years,63685
East Midlands,Administrative and secretarial,Aged 50 to 64 years,72095
East Midlands,Administrative and secretarial,Aged 65 years and over,9960
East Midlands,Skilled trades,Aged 24 years and under,28050
East Midlands,Skilled trades,Aged 25 to 34 years,51223
East Midlands,Skilled trades,Aged 35 to 49 years,75565
East Midlands,Skilled trades,Aged 50 to 64 years,78089
East Midlands,Skilled trades,Aged 65 years and over,13177
East Midlands,"Caring, leisure and other services",Aged 24 years and under,29922
East Midlands,"Caring, leisure and other services",Aged 25 to 34 years,47740
East Midlands,"Caring, leisure and other services",Aged 35 to 49 years,65641
East Midlands,"Caring, leisure and other services",Aged 50 to 64 years,64818
East Midlands,"Caring, leisure and other services",Aged 65 years and over,7363
East Midlands,Sales and customer services,Aged 24 years and under,41227
East Midlands,Sales and customer services,Aged 25 to 34 years,39208
East Midlands,Sales and customer services,Aged 35 to 49 years,42039
East Midlands,Sales and customer services,Aged 50 to 64 years,45176
East Midlands,Sales and customer services,Aged 65 years and over,7258
East Midlands,"Process, plant and machine operatives",Aged 24 years and under,13480
East Midlands,"Process, plant and machine operatives",Aged 25 to 34 years,39149
East Midlands,"Process, plant and machine operatives",Aged 35 to 49 years,66564
East Midlands,"Process, plant and machine operatives",Aged 50 to 64 years,72770
East Midlands,"Process, plant and machine operatives",Aged 65 years and over,9682
East Midlands,Elementary occupations,Aged 24 years and under,55183
East Midlands,Elementary occupations,Aged 25 to 34 years,60555
East Midlands,Elementary occupations,Aged 35 to 49 years,79980
East Midlands,Elementary occupations,Aged 50 to 64 years,80534
East Midlands,Elementary occupations,Aged 65 years and over,11151
West Midlands,"Managers, directors and senior officials",Aged 24 years and under,8608
West Midlands,"Managers, directors and senior officials",Aged 25 to 34 years,51015
West Midlands,"Managers, directors and senior officials",Aged 35 to 49 years,118397
West Midlands,"Managers, directors and senior officials",Aged 50 to 64 years,107681
West Midlands,"Managers, directors and senior officials",Aged 65 years and over,18366
West Midlands,Professional occupations,Aged 24 years and under,30640
West Midlands,Professional occupations,Aged 25 to 34 years,131246
West Midlands,Professional occupations,Aged 35 to 49 years,184714
West Midlands,Professional occupations,Aged 50 to 64 years,123853
West Midlands,Professional occupations,Aged 65 years and over,14126
West Midlands,Associate professional and technical,Aged 24 years and under,33373
West Midlands,Associate professional and technical,Aged 25 to 34 years,84150
West Midlands,Associate professional and technical,Aged 35 to 49 years,106968
West Midlands,Associate professional and technical,Aged 50 to 64 years,78157
West Midlands,Associate professional and technical,Aged 65 years and over,8869
West Midlands,Administrative and secretarial,Aged 24 years and under,23511
West Midlands,Administrative and secretarial,Aged 25 to 34 years,50683
West Midlands,Administrative and secretarial,Aged 35 to 49 years,75848
West Midlands,Administrative and secretarial,Aged 50 to 64 years,85185
West Midlands,Administrative and secretarial,Aged 65 years and over,12073
West Midlands,Skilled trades,Aged 24 years and under,29629
West Midlands,Skilled trades,Aged 25 to 34 years,58376
West Midlands,Skilled trades,Aged 35 to 49 years,86937
West Midlands,Skilled trades,Aged 50 to 64 years,92111
West Midlands,Skilled trades,Aged 65 years and over,16435
West Midlands,"Caring, leisure and other services",Aged 24 years and under,34668
West Midlands,"Caring, leisure and other services",Aged 25 to 34 years,56024
West Midlands,"Caring, leisure and other services",Aged 35 to 49 years,76952
West Midlands,"Caring, leisure and other services",Aged 50 to 64 years,75511
West Midlands,"Caring, leisure and other services",Aged 65 years and over,9070
West Midlands,Sales and customer services,Aged 24 years and under,47815
West Midlands,Sales and customer services,Aged 25 to 34 years,48794
West Midlands,Sales and customer services,Aged 35 to 49 years,50463
West Midlands,Sales and customer services,Aged 50 to 64 years,50843
West Midlands,Sales and customer services,Aged 65 years and over,8327
West Midlands,"Process, plant and machine operatives",Aged 24 years and under,13703
West Midlands,"Process, plant and machine operatives",Aged 25 to 34 years,42813
West Midlands,"Process, plant and machine operatives",Aged 35 to 49 years,76275
West Midlands,"Process, plant and machine operatives",Aged 50 to 64 years,81361
West Midlands,"Process, plant and machine operatives",Aged 65 years and over,11581
West Midlands,Elementary occupations,Aged 24 years and under,59451
West Midlands,Elementary occupations,Aged 25 to 34 years,67679
West Midlands,Elementary occupations,Aged 35 to 49 years,91883
West Midlands,Elementary occupations,Aged 50 to 64 years,91043
West Midlands,Elementary occupations,Aged 65 years and over,13680
East,"Managers, directors and senior officials",Aged 24 years and under,10453
East,"Managers, directors and senior officials",Aged 25 to 34 years,67476
East,"Managers, directors and senior officials",Aged 35 to 49 years,166501
East,"Managers, directors and senior officials",Aged 50 to 64 years,144546
East,"Managers, directors and senior officials",Aged 65 years and over,24939
East,Professional occupations,Aged 24 years and under,32359
East,Professional occupations,Aged 25 to 34 years,152346
East,Professional occupations,Aged 35 to 49 years,233697
East,Professional occupations,Aged 50 to 64 years,154755
East,Professional occupations,Aged 65 years and over,20206
East,Associate professional and technical,Aged 24 years and under,43231
East,Associate professional and technical,Aged 25 to 34 years,108536
East,Associate professional and technical,Aged 35 to 49 years,140962
East,Associate professional and technical,Aged 50 to 64 years,97850
East,Associate professional and technical,Aged 65 years and over,12441
East,Administrative and secretarial,Aged 24 years and under,28327
East,Administrative and secretarial,Aged 25 to 34 years,59202
East,Administrative and secretarial,Aged 35 to 49 years,92265
East,Administrative and secretarial,Aged 50 to 64 years,101081
East,Administrative and secretarial,Aged 65 years and over,16435
East,Skilled trades,Aged 24 years and under,34586
East,Skilled trades,Aged 25 to 34 years,69411
East,Skilled trades,Aged 35 to 49 years,100996
East,Skilled trades,Aged 50 to 64 years,100534
East,Skilled trades,Aged 65 years and over,18095
East,"Caring, leisure and other services",Aged 24 years and under,36785
East,"Caring, leisure and other services",Aged 25 to 34 years,58881
East,"Caring, leisure and other services",Aged 35 to 49 years,86479
East,"Caring, leisure and other services",Aged 50 to 64 years,81781
East,"Caring, leisure and other services",Aged 65 years and over,10877
